motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep
23588,Red Knot,ASY,11014,"Cape Romain NWR, SC (Bulls Island)",2878,32.9071,-79.6134,2017-05-18T00:03:22Z,Carden LOSH,3357,44.6009,-79.0464,2017-05-18T13:09:29Z,1311233.156,1299095.496,13.10178753,0.990743325,27.54279592,27.80013272,1.999596717,-2.300003,4.899994,4.816757491,TRUE
23588,Red Knot,ASY,11014,PARC Deer Lakes,3996,40.627,-79.8089,2017-05-18T08:24:17Z,Carden LOSH,3357,44.6009,-79.0464,2017-05-18T13:09:29Z,454344.9845,445851.5242,4.753378111,0.981306143,26.05465896,26.55099956,7.809836323,2.199997,6.199997,6.441437134,FALSE
23588,Red Knot,ASY,11014,Haldimand Raptor Res,3947,42.8894,-79.9237,2017-05-18T11:15:36Z,Carden LOSH,3357,44.6009,-79.0464,2017-05-18T13:09:29Z,202883.8916,202863.9899,1.897883611,0.999901906,29.69155115,29.694464,20.08326398,5.199997,8.699997,9.956593058,FALSE
23588,Red Knot,ASY,11014,Binbrook_Conservatio,4024,43.0997,-79.8309,2017-05-18T11:34:00Z,Carden LOSH,3357,44.6009,-79.0464,2017-05-18T13:09:29Z,178324.7193,178324.7193,1.591240806,1,31.12957139,31.12957139,20.44477198,5.199997,8.699997,9.96835987,FALSE
23589,Red Knot,ASY,11015,"Cape Romain NWR, SC (Bulls Island)",2878,32.9071,-79.6134,2017-05-16T23:17:54Z,Napanee LOSH,3348,44.3489,-76.8908,2017-05-17T15:24:50Z,1291871.848,1291871.848,16.11571906,1,22.26728389,22.26728389,9.737378458,-1.300003,4.399994,4.116732166,TRUE
23591,Red Knot,ASY,11017,"Cape Romain NWR, SC (Bulls Island)",2878,32.9071,-79.6134,2017-05-15T00:49:09Z,SKID,3476,37.134,-75.9258,2017-05-15T10:52:51Z,577085.9405,577085.9405,10.06169456,1,15.93187403,15.93187403,34.62285164,0.19999695,1.300003,1.183417909,TRUE
23591,Red Knot,ASY,11017,SKID,3476,37.134,-75.9258,2017-05-15T13:33:49Z,RTNJ,4233,39.5091,-74.3241,2017-05-16T05:25:04Z,299050.0823,298525.1498,15.85415017,0.998244667,5.230406667,5.239603917,27.48677727,8.899994,-6.800003,-1.924662882,TRUE
23591,Red Knot,ASY,11017,SHNJ,3472,40.4296,-73.9848,2017-05-27T22:56:42Z,Hilliardton,3279,47.7408,-79.6989,2017-05-28T13:21:40Z,1026933.803,931788.1785,14.41624508,0.907349798,17.95405448,19.78735711,332.561581,-1.4000092,0.30000305,0.91137192,TRUE
23591,Red Knot,ASY,11017,JBNY,4232,40.6163,-73.824,2017-05-27T22:45:50Z,Hilliardton,3279,47.7408,-79.6989,2017-05-28T13:21:40Z,1002129.433,919902.3781,14.59725728,0.91794767,17.50523633,19.06997195,331.32793,-1.4000092,0.30000305,0.934935336,FALSE
23591,Red Knot,ASY,11017,FRIS,3469,40.6328,-73.2157,2017-05-27T23:00:40Z,Hilliardton,3279,47.7408,-79.6989,2017-05-28T13:21:40Z,950599.1002,943961.9617,14.35002075,0.993017942,18.27256285,18.40103999,328.9434306,-0.90000916,-0.19999695,0.292971375,FALSE
